id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h,labels
1,351220,631,367,782,583,1221.796875,690.421875,1.0431839227676392,0.9913554787635804,0,0,2005,1339,0
1,347019,630,376,785,583,783.203125,690.421875,1.04545795917511,0.9910002946853638,0,0,2005,1339,0
1,342198,633,385,788,586,1284.453125,690.421875,1.0446192026138306,0.9901824593544006,0,0,2005,1339,0
1,337383,633,390,785,593,1096.484375,481.203125,1.045606017112732,0.9918285012245178,0,0,2005,1339,0
1,332806,635,394,784,599,1159.140625,732.265625,1.0365667343139648,0.990637481212616,0,0,2005,1339,0
1,328306,637,399,784,605,783.203125,648.578125,1.033297777175903,0.9903331995010376,0,0,2005,1339,0
1,324151,641,405,778,608,1221.796875,815.953125,1.037718653678894,0.9919041991233826,0,0,2005,1339,0
1,319434,643,410,774,612,1096.484375,732.265625,1.0416873693466189,0.9916660785675048,0,0,2005,1339,0
1,315337,647,414,767,616,908.515625,606.734375,1.035314679145813,0.991564929485321,0,0,2005,1339,0
1,311356,651,419,762,618,1033.828125,732.265625,1.0359431505203247,0.9912086129188538,0,0,2005,1339,0
1,307888,656,421,756,622,1096.484375,774.109375,1.037911295890808,0.9915428161621094,0,0,2005,1339,0
1,304718,662,427,752,620,1096.484375,774.109375,1.041631102561951,0.99130380153656,0,0,2005,1339,0
1,302379,666,430,750,621,1096.484375,648.578125,1.0287327766418457,0.9913978576660156,0,0,2005,1339,0
1,299344,672,427,742,627,1033.828125,815.953125,1.03537118434906,0.9905058145523072,0,0,2005,1339,0
1,297712,676,420,738,635,971.171875,774.109375,1.030630588531494,0.9918978214263916,0,0,2005,1339,0
1,294570,683,414,729,642,1033.828125,857.796875,1.0304638147354126,0.990811288356781,0,0,2005,1339,0
1,292117,691,407,718,649,1033.828125,815.953125,1.0251376628875732,0.99201762676239,0,0,2005,1339,0
1,289345,700,401,701,653,971.171875,815.953125,1.026716232299805,0.9902492761611938,0,0,2005,1339,0
1,286252,707,397,688,656,1284.453125,564.890625,1.0294514894485474,0.9910367727279664,0,0,2005,1339,0
